retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method
West Gear,1128299,2020-03-12,West,Nevada,Las Vegas,Women's Athletic Footwear,40,166,6640,2390.4,Outlet
West Gear,1128299,2020-03-12,West,Nevada,Las Vegas,Women's Athletic Footwear,60,475,285000,85500.0,In-store
West Gear,1128299,2020-03-12,West,Nevada,Las Vegas,Women's Athletic Footwear,57,133,7581,3335.64,Online
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500.0,Outlet
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,46,243,11178,5141.88,Online
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,35,270,9450,3496.5,Outlet
West Gear,1128299,2020-03-18,West,Nevada,Las Vegas,Women's Athletic Footwear,38,72,2736,1231.2,Online
West Gear,1128299,2020-03-18,West,Nevada,Las Vegas,Women's Athletic Footwear,26,96,2496,848.64,Outlet
West Gear,1128299,2020-03-18,West,Nevada,Las Vegas,Women's Athletic Footwear,40,275,110000,33000.0,In-store
West Gear,1128299,2020-03-24,West,Colorado,Denver,Women's Athletic Footwear,40,275,110000,33000.0,In-store
West Gear,1128299,2020-03-24,West,Colorado,Denver,Women's Athletic Footwear,36,72,2592,1166.4,Online
West Gear,1128299,2020-03-30,West,Colorado,Denver,Women's Athletic Footwear,51,90,4590,1973.7,Online
West Gear,1128299,2020-03-30,West,Colorado,Denver,Women's Athletic Footwear,55,300,165000,49500.0,In-store
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,40,324,12960,5184.0,Outlet
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,47,241,11327,5323.69,Online
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50,925,462500,161875.0,Outlet
West Gear,1128299,2020-04-05,West,Colorado,Denver,Women's Athletic Footwear,56,74,4144,1781.92,Online
West Gear,1128299,2020-04-05,West,Colorado,Denver,Women's Athletic Footwear,60,275,165000,49500.0,In-store
West Gear,1128299,2020-04-11,West,Colorado,Denver,Women's Athletic Footwear,60,275,165000,74250.0,In-store
West Gear,1128299,2020-04-11,West,Colorado,Denver,Women's Athletic Footwear,58,69,4002,2361.18,Online
West Gear,1128299,2020-04-17,West,Colorado,Denver,Women's Athletic Footwear,65,450,292500,131625.0,In-store
West Gear,1128299,2020-04-17,West,Colorado,Denver,Women's Athletic Footwear,62,135,8370,5022.0,Online
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,47,252,11844,5448.24,Online
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,34,306,10404,4057.56,Outlet
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500.0,Outlet
West Gear,1128299,2020-04-23,West,Colorado,Denver,Women's Athletic Footwear,65,475,308750,123500.0,In-store
West Gear,1128299,2020-04-23,West,Colorado,Denver,Women's Athletic Footwear,61,143,8723,4535.96,Online
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Women's Athletic Footwear,40,650,260000,78000.0,In-store
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Women's Athletic Footwear,49,175,8575,3687.25,Online
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Women's Athletic Footwear,38,189,7182,3231.9,Online
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Women's Athletic Footwear,50,700,350000,105000.0,In-store
West Gear,1128299,2020-04-29,West,Colorado,Denver,Women's Athletic Footwear,63,135,8505,4592.7,Online
West Gear,1128299,2020-04-29,West,Colorado,Denver,Women's Athletic Footwear,70,500,350000,140000.0,In-store
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55,900,495000,173250.0,Outlet
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,41,270,11070,4095.9,Outlet
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,50,252,12600,6174.0,Online
West Gear,1128299,2020-05-05,West,Colorado,Denver,Women's Athletic Footwear,59,100,5900,2832.0,Online
West Gear,1128299,2020-05-05,West,Colorado,Denver,Women's Athletic Footwear,65,400,260000,91000.0,In-store
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,41,306,12546,5018.4,Outlet
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55,900,495000,173250.0,Outlet
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,54,225,12150,5589.0,Online
West Gear,1128299,2020-05-11,West,Colorado,Denver,Women's Athletic Footwear,53,85,4505,2072.3,Online
West Gear,1128299,2020-05-11,West,Colorado,Denver,Women's Athletic Footwear,55,325,178750,62562.5,In-store
West Gear,1128299,2020-05-17,West,Colorado,Denver,Women's Athletic Footwear,65,400,260000,91000.0,In-store
West Gear,1128299,2020-05-17,West,Colorado,Denver,Women's Athletic Footwear,60,116,6960,3340.8,Online
West Gear,1128299,2020-05-23,West,Colorado,Denver,Women's Athletic Footwear,63,125,7875,3543.75,Online
West Gear,1128299,2020-05-23,West,Colorado,Denver,Women's Athletic Footwear,65,500,325000,113750.0,In-store
Sports Direct,1185732,2020-05-24,Southeast,Florida,Miami,Women's Athletic Footwear,55,775,426250,127875.0,In-store
Sports Direct,1185732,2020-05-24,Southeast,Florida,Miami,Women's Athletic Footwear,54,209,11286,4852.98,Online
West Gear,1128299,2020-05-29,West,Colorado,Denver,Women's Athletic Footwear,49,78,3822,1567.02,Online
West Gear,1128299,2020-05-29,West,Colorado,Denver,Women's Athletic Footwear,50,300,150000,45000.0,In-store
West Gear,1128299,2020-06-04,West,Washington,Seattle,Women's Athletic Footwear,50,300,150000,45000.0,In-store
West Gear,1128299,2020-06-04,West,Washington,Seattle,Women's Athletic Footwear,48,87,4176,1753.92,Online
West Gear,1128299,2020-06-10,West,Washington,Seattle,Women's Athletic Footwear,64,85,5440,2284.8,Online
West Gear,1128299,2020-06-10,West,Washington,Seattle,Women's Athletic Footwear,65,325,211250,63375.0,In-store
West Gear,1128299,2020-06-16,West,Washington,Seattle,Women's Athletic Footwear,60,300,180000,54000.0,In-store
West Gear,1128299,2020-06-16,West,Washington,Seattle,Women's Athletic Footwear,55,90,4950,2079.0,Online
West Gear,1128299,2020-06-22,West,Washington,Seattle,Women's Athletic Footwear,59,90,5310,2336.4,Online
West Gear,1128299,2020-06-22,West,Washington,Seattle,Women's Athletic Footwear,60,300,180000,54000.0,In-store
West Gear,1128299,2020-06-28,West,Washington,Seattle,Women's Athletic Footwear,75,125,9375,3750.0,Online
West Gear,1128299,2020-06-28,West,Washington,Seattle,Women's Athletic Footwear,80,500,400000,120000.0,In-store
West Gear,1128299,2020-07-04,West,Washington,Seattle,Women's Athletic Footwear,80,525,420000,126000.0,In-store
West Gear,1128299,2020-07-04,West,Washington,Seattle,Women's Athletic Footwear,78,137,10686,4381.26,Online
West Gear,1128299,2020-07-10,West,Washington,Seattle,Women's Athletic Footwear,74,155,11470,5046.8,Online
West Gear,1128299,2020-07-10,West,Washington,Seattle,Women's Athletic Footwear,75,575,431250,129375.0,In-store
West Gear,1128299,2020-07-16,West,Washington,Seattle,Women's Athletic Footwear,67,112,7504,3001.6,Online
West Gear,1128299,2020-07-16,West,Washington,Seattle,Women's Athletic Footwear,70,400,280000,84000.0,In-store
West Gear,1128299,2020-07-22,West,Washington,Seattle,Women's Athletic Footwear,60,350,210000,63000.0,In-store
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,34,175,5950,3272.5,Online
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35,700,245000,110250.0,Outlet
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,27,210,5670,2948.4,Outlet
West Gear,1128299,2020-07-22,West,Washington,Seattle,Women's Athletic Footwear,58,98,5684,2500.96,Online
West Gear,1128299,2020-07-28,West,Washington,Seattle,Women's Athletic Footwear,70,450,315000,94500.0,In-store
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,34,175,5950,3570.0,Online
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,26,213,5538,2769.0,Outlet
West Gear,1128299,2020-07-28,West,Washington,Seattle,Women's Athletic Footwear,69,117,8073,3471.39,Online
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35,625,218750,98437.5,Outlet
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40,600,240000,108000.0,Outlet
West Gear,1128299,2020-08-03,West,Washington,Seattle,Women's Athletic Footwear,80,550,440000,132000.0,In-store
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,30,204,6120,2937.6,Outlet
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,37,174,6438,3734.04,Online
West Gear,1128299,2020-08-03,West,Washington,Seattle,Women's Athletic Footwear,76,138,10488,4509.84,Online
Foot Locker,1185732,2020-08-09,West,Washington,Seattle,Women's Athletic Footwear,38,175,6650,2660.0,Online
Foot Locker,1185732,2020-08-09,West,Washington,Seattle,Women's Athletic Footwear,40,700,280000,84000.0,In-store
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,28,213,5964,2862.72,Outlet
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,36,163,5868,3462.12,Online
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40,625,250000,112500.0,Outlet
West Gear,1185732,2020-08-15,Southeast,Florida,Miami,Women's Athletic Footwear,38,169,6422,2825.68,Online
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000.0,Outlet
West Gear,1185732,2020-08-15,Southeast,Florida,Miami,Women's Athletic Footwear,40,675,270000,81000.0,In-store
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,39,189,7371,4275.18,Online
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,31,245,7595,3873.45,Outlet
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,26,263,6838,3282.24,Outlet
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,38,203,7714,4396.98,Online
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40,750,300000,135000.0,Outlet
Foot Locker,1185732,2020-08-21,Southeast,Florida,Miami,Women's Athletic Footwear,36,175,6300,2520.0,Online
Foot Locker,1185732,2020-08-21,Southeast,Florida,Miami,Women's Athletic Footwear,40,625,250000,75000.0,In-store
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,36,210,7560,4536.0,Online
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000.0,Outlet
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,28,224,6272,3261.44,Outlet
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,30,215,6450,3096.0,Outlet
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,38,189,7182,4237.38,Online
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40,650,260000,117000.0,Outlet
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,140625.0,Outlet
West Gear,1185732,2020-09-08,Southeast,Florida,Miami,Women's Athletic Footwear,50,775,387500,116250.0,In-store
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,47,181,8507,4678.85,Online
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,37,200,7400,3700.0,Outlet
West Gear,1185732,2020-09-08,Southeast,Florida,Miami,Women's Athletic Footwear,47,217,10199,4079.6,Online
West Gear,1185732,2020-09-14,Southeast,Florida,Miami,Women's Athletic Footwear,55,775,426250,127875.0,In-store
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50,600,300000,135000.0,Outlet
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,36,204,7344,3451.68,Outlet
West Gear,1185732,2020-09-14,Southeast,Florida,Miami,Women's Athletic Footwear,53,233,12349,5310.07,Online
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,45,168,7560,4384.8,Online
Foot Locker,1185732,2020-09-20,Southeast,Florida,Miami,Women's Athletic Footwear,44,233,10252,4100.8,Online
Foot Locker,1185732,2020-09-20,Southeast,Florida,Miami,Women's Athletic Footwear,45,775,348750,104625.0,In-store
Sports Direct,1185732,2020-09-26,Southeast,Florida,Miami,Women's Athletic Footwear,45,725,326250,97875.0,In-store
Sports Direct,1185732,2020-09-26,Southeast,Florida,Miami,Women's Athletic Footwear,42,210,8820,3792.6,Online
Sports Direct,1185732,2020-10-02,Southeast,Florida,Miami,Women's Athletic Footwear,45,182,8190,3603.6,Online
Sports Direct,1185732,2020-10-02,Southeast,Florida,Miami,Women's Athletic Footwear,50,700,350000,105000.0,In-store
Sports Direct,1185732,2020-10-08,Southeast,Florida,Miami,Women's Athletic Footwear,49,202,9898,4355.12,Online
Sports Direct,1185732,2020-10-08,Southeast,Florida,Miami,Women's Athletic Footwear,50,775,387500,116250.0,In-store
Foot Locker,1185732,2020-10-20,Southeast,Florida,Miami,Women's Athletic Footwear,30,100,30000,10500.0,In-store
Foot Locker,1185732,2020-10-20,Southeast,Florida,Miami,Women's Athletic Footwear,29,26,754,339.3,Online
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,36,230,8280,4140.0,Outlet
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,48,203,9744,5359.2,Online
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50,675,337500,151875.0,Outlet
Foot Locker,1185732,2020-10-26,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,27,20,540,253.8,Online
Foot Locker,1185732,2020-10-26,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,30,75,22500,7875.0,In-store
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50,700,350000,157500.0,Outlet
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,36,210,7560,3931.2,Outlet
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,47,182,8554,4961.32,Online
Foot Locker,1185732,2020-11-01,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35,25,8750,3062.5,In-store
Foot Locker,1185732,2020-11-01,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,32,7,224,112.0,Online
West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,93750.0,Outlet
West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,35,219,7665,2759.4,Outlet
West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,48,175,8400,3360.0,Online
Foot Locker,1185732,2020-11-07,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35,25,8750,3062.5,In-store
Foot Locker,1185732,2020-11-07,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,32,7,224,112.0,Online
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,47,150,7050,2961.0,Online
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,39,190,7410,2519.4,Outlet
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,50,575,287500,86250.0,Outlet
Foot Locker,1185732,2020-11-13,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,40,50,20000,7000.0,In-store
Foot Locker,1185732,2020-11-13,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,36,13,468,229.32,Online
Foot Locker,1185732,2020-11-19,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,32,45,1440,676.8,Online
Foot Locker,1185732,2020-11-19,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35,150,52500,18375.0,Outlet
Foot Locker,1185732,2020-11-25,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,40,175,70000,24500.0,Outlet
Foot Locker,1185732,2020-11-25,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,38,51,1938,930.24,Online
Foot Locker,1185732,2020-12-01,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,33,47,1551,759.99,Online
Foot Locker,1185732,2020-12-01,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35,175,61250,21437.5,Outlet
Foot Locker,1185732,2020-12-07,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,25,125,31250,10937.5,Outlet
Foot Locker,1185732,2020-12-07,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,24,31,744,342.24,Online
Foot Locker,1185732,2020-12-13,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,32,21,672,309.12,Online
Foot Locker,1185732,2020-12-13,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35,75,26250,9187.5,Outlet
Foot Locker,1185732,2020-12-19,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,40,150,60000,21000.0,Outlet
Foot Locker,1185732,2020-12-19,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,38,45,1710,837.9,Online
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,60,600,360000,108000.0,Outlet
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,48,204,9792,3133.44,Outlet
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,58,174,10092,4339.56,Online
Foot Locker,1185732,2020-12-25,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,45,175,78750,27562.5,Outlet
Foot Locker,1185732,2020-12-25,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,44,49,2156,1056.44,Online
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,60,625,375000,112500.0,Outlet
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,48,188,9024,3068.16,Outlet
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,54,188,10152,4162.32,Online
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,56,182,10192,4586.4,Online
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,60,650,390000,136500.0,Outlet
West Gear,1185732,2021-01-03,Midwest,Iowa,Des Moines,Women's Athletic Footwear,25,100,25000,7500.0,In-store
West Gear,1185732,2021-01-03,Midwest,Iowa,Des Moines,Women's Athletic Footwear,23,29,667,300.15,Online
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,42,228,9576,4021.92,Outlet
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Athletic Footwear,26,166,4316,1812.72,Outlet
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Athletic Footwear,33,133,4389,2326.17,Online
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Athletic Footwear,35,475,166250,66500.0,Online
Kohl's,1189833,2021-01-06,Midwest,Montana,Billings,Women's Athletic Footwear,44,81,3564,1960.2,Online
Sports Direct,1185732,2021-01-06,Southeast,South Carolina,Charleston,Women's Athletic Footwear,29,173,5017,2759.35,Online
Kohl's,1189833,2021-01-06,Midwest,Montana,Billings,Women's Athletic Footwear,45,300,135000,54000.0,Outlet
Sports Direct,1185732,2021-01-06,Southeast,South Carolina,Charleston,Women's Athletic Footwear,30,575,172500,69000.0,Online
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Women's Athletic Footwear,25,100,25000,7500.0,In-store
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Women's Athletic Footwear,24,26,624,280.8,Online
Sports Direct,1185732,2021-01-07,Northeast,New Jersey,Newark,Women's Athletic Footwear,33,42,1386,609.84,Online
Sports Direct,1185732,2021-01-07,Northeast,New Jersey,Newark,Women's Athletic Footwear,35,150,52500,15750.0,In-store
Sports Direct,1185732,2021-01-09,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,30,125,37500,11250.0,Online
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,41,224,9184,3765.44,Outlet
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Women's Athletic Footwear,34,203,6902,3036.88,Online
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Women's Athletic Footwear,25,209,5225,1828.75,Outlet
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,60,700,420000,147000.0,Outlet
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Women's Athletic Footwear,35,675,236250,70875.0,Online
Sports Direct,1185732,2021-01-09,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,28,33,924,415.8,Online
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,59,210,12390,6071.1,Online
West Gear,1185732,2021-01-10,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,30,150,45000,15750.0,In-store
Foot Locker,1128299,2021-01-10,West,Alaska,Anchorage,Women's Athletic Footwear,43,56,2408,842.8,Online
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Women's Athletic Footwear,43,59,2537,989.43,Online
Foot Locker,1128299,2021-01-10,West,Alaska,Anchorage,Women's Athletic Footwear,45,225,101250,25312.5,Outlet
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Women's Athletic Footwear,45,225,101250,25312.5,Outlet
