title,original_title,budget,genre,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,link.type,link.url,link.suggested_link_text,multimedia.type,multimedia.src,multimedia.height,multimedia.width,multimedia,genres,original_language,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
I Love America,I Love America,0,"Comedy, Romance",fr,French,,"A single woman who decides to take a chance on love again by catapulting her life from Paris to Los Angeles. From awkward dates to touching surprise encounters, she understands the journey to love is a journey towards herself.",10.698,102,0,2022-03-11,5.217,69,United States of America,,0.0,Nicolas Rapold,‘I Love America’ Review: The Gauche Rituals of Modern Romance,The determinedly uplifting comedy follows a 50-year-old French filmmaker as she dates in Los Angeles.,2022-04-28,2022-04-29,2022-04-28 11:06:16,article,https://www.nytimes.com/2022/04/28/movies/i-love-america-review.html,Read the New York Times Review of I Love America,mediumThreeByTwo210,https://static01.nyt.com/images/2022/04/28/arts/28love-america1/28love-america1-mediumThreeByTwo440.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
Book of Love,Book of Love,0,"Comedy, Romance",en,"Spanish, English",,"Henry, an English writer who has written a new book that has become a failure in the U.K, gets notified that the dull book has been highly trending over in Mexico. Little does he know that Maria, a Spanish translator, turned the book into an erotic novel. Henry and Maria then swerve around Mexico to do a book tour and go through a wind of events.",12.764,106,0,2022-01-06,5.635,101,"Mexico, United Kingdom",,0.0,Natalia Winkelman,‘Book of Love’ Review: Lust (Eventually) in Translation,"Unbeknown to the author of an uninspired romance novel, the book takes a sharp turn into erotic territory in its Spanish-language release.",2022-02-04,2022-02-04,2022-02-04 05:06:12,article,https://www.nytimes.com/2022/02/04/movies/book-of-love-review.html,Read the New York Times Review of Book of Love,mediumThreeByTwo210,https://static01.nyt.com/images/2022/02/04/arts/04book-of-love-pix/merlin_201058209_bc82917e-b2ed-4de4-a61e-592539574f8a-mediumThreeByTwo440.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
Love Hard,Love Hard,0,"Comedy, Romance",en,English,https://www.netflix.com/title/81086631,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for Christmas, only to discover that she's been catfished. But the object of her affection actually lives in the same town, and the guy who duped her offers to set them up if she pretends to be his own girlfriend for the holidays.",16.529,105,0,2021-11-05,7.0,1316,United States of America,,0.0,Concepción de León,"‘Love Hard’ Review: Seeking Connection, Not Perfection","When a perennially single journalist travels across the country to meet her dream guy, she finds she’s been catfished.",2021-11-05,2021-11-05,2021-11-05 07:02:03,article,https://www.nytimes.com/2021/11/05/movies/love-hard-review.html,Read the New York Times Review of Love Hard,mediumThreeByTwo210,https://static01.nyt.com/images/2021/11/03/arts/lovehard1/lovehard1-mediumThreeByTwo440.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
Hard Luck Love Song,Hard Luck Love Song,0,"Romance, Music, Drama, Thriller",en,"English, Spanish",http://HardLuckLoveSong.com,"Jesse, a charismatic but down on his luck troubadour, finds himself at an existential crossroads as bad choices catch up with him during an unexpected reunion with Carla, an old flame.",3.193,104,0,2021-10-15,5.0,8,United States of America,R,0.0,Glenn Kenny,‘Hard Luck Love Song’ Review: A Glossy Take on a Gritty Tune,"Drawn from the plotline of a Todd Snider song, the film follows a pool shark and an escort, taking twists that are both violent and silly.",2021-10-14,2021-10-15,2021-10-14 12:28:03,article,https://www.nytimes.com/2021/10/14/movies/hard-luck-love-song-review.html,Read the New York Times Review of Hard Luck Love Song,mediumThreeByTwo210,https://static01.nyt.com/images/2021/10/14/arts/14hard-luck-review/merlin_195864411_fa0620b9-3070-4301-be89-7ebf7a4b1d26-mediumThreeByTwo440.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
Happier Than Ever: A Love Letter to Los Angeles,Happier Than Ever: A Love Letter to Los Angeles,0,"Music, Documentary",en,English,https://www.disneyplus.com/movies/happier-than-ever-a-love-letter-to-los-angeles/21VAuvZk4Ssk,"Fresh off the heels of her brand-new album, ""Happier Than Ever,"" this cinematic concert experience features an intimate performance of every song in the album's sequential order – for the first and only time – from the stage of the legendary Hollywood Bowl.",10.092,65,0,2021-09-03,7.936,110,United States of America,,0.0,Teo Bugbee,‘Happier Than Ever’ Review: Modern Pop Meets Classic Hollywood,"In the Disney+ concert film “Happier Than Ever: A Love Letter to Los Angeles,” the pop star Billie Eilish pays tribute to the star-struck hauntedness of that city.",2021-09-02,2021-09-03,2021-09-02 11:07:03,article,https://www.nytimes.com/2021/09/02/movies/happier-than-ever-review.html,Read the New York Times Review of Happier Than Ever: A Love Letter to Los Angeles,mediumThreeByTwo210,https://static01.nyt.com/images/2021/09/03/arts/happier1/happier1-mediumThreeByTwo440.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
Resort to Love,Resort to Love,0,"Romance, Comedy",en,English,https://www.netflix.com/title/81076586,Aspiring pop star Erica ends up as the entertainment at her ex-fiancé’s wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.,15.88,101,0,2021-07-29,7.244,373,United States of America,TV-PG,0.0,Concepción de León,‘Resort to Love’ Review: A Struggling Singer in Paradise,"In this romantic comedy, a woman reeling from a failed engagement and a flailing career escapes to a glamorous island resort.",2021-07-29,2021-07-29,2021-07-29 11:05:02,article,https://www.nytimes.com/2021/07/29/movies/resort-to-love-review.html,Read the New York Times Review of Resort to Love,mediumThreeByTwo210,https://static01.nyt.com/images/2021/07/31/arts/resort1/resort1-mediumThreeByTwo440.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
The Last Letter from Your Lover,The Last Letter from Your Lover,0,"Drama, Romance",en,"English, French",https://www.blueprintpictures.com/#/the-last-letter-from-your-lover/,A young journalist in London becomes obsessed with a series of letters she discovers that recounts an intense star-crossed love affair from the 1960s.,21.868,110,1451974,2021-07-23,7.505,508,"Canada, United Kingdom",TV-MA,0.0,Beatrice Loayza,‘The Last Letter From Your Lover’ Review: Relationship History,Shailene Woodley and Felicity Jones star as two women living in different eras struggling to uncover the truth behind a series of passionate love letters.,2021-07-22,2021-07-23,2021-07-22 11:07:04,article,https://www.nytimes.com/2021/07/22/movies/the-last-letter-from-your-lover-review.html,Read the New York Times Review of The Last Letter from Your Lover,mediumThreeByTwo210,https://static01.nyt.com/images/2021/07/23/arts/22last-letter-art/22last-letter-art-mediumThreeByTwo440.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Summer of Soul (...Or, When the Revolution Could Not Be Televised)",0,"Documentary, Music, History",en,English,https://www.searchlightpictures.com/summerofsoul/,"During the same summer as Woodstock, over 300,000 people attended the Harlem Cultural Festival, celebrating African American music and culture, and promoting Black pride and unity. The footage from the festival sat in a basement, unseen for over 50 years, keeping this incredible event in America's history lost — until now.",10.36,117,37000000,2021-07-02,7.633,154,United States of America,PG-13,1.0,Wesley Morris,"‘Summer of Soul’ Review: In 1969 Harlem, a Music Festival Stuns","Stevie Wonder, Mahalia Jackson, Mavis Staples and others shine in a documentary about the Harlem Cultural Festival from Questlove.",2021-06-24,2021-07-02,2021-06-24 19:53:03,article,https://www.nytimes.com/2021/06/24/movies/summer-of-soul-review.html,"Read the New York Times Review of Summer of Soul (...Or, When the Revolution Could Not Be Televised)",mediumThreeByTwo210,https://static01.nyt.com/images/2021/06/25/arts/24summerofsoul2/24summerofsoul2-mediumThreeByTwo440.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
The Killing of Two Lovers,The Killing of Two Lovers,0,"Drama, Thriller",en,English,https://neonrated.com/films/the-killing-of-two-lovers,David desperately tries to keep his family of six together during a separation from his wife. They both agree to see other people but David struggles to grapple with his wife’s new relationship.,10.161,84,0,2021-02-23,6.436,70,United States of America,R,1.0,Nicolas Rapold,‘The Killing of Two Lovers’ Review: What Lies Beneath,Under the veneer of an unusual marriage is an uncontrollable undercurrent to which everyone is susceptible.,2021-05-13,2021-05-14,2021-05-13 15:41:13,article,https://www.nytimes.com/2021/05/13/movies/the-killing-of-two-lovers-review.html,Read the New York Times Review of The Killing of Two Lovers,mediumThreeByTwo210,https://static01.nyt.com/images/2021/05/14/arts/13killing-of-two-lovers-pix/merlin_187492188_264fcec7-dbef-46c5-b8d2-4f36fac6ce48-mediumThreeByTwo440.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
Sylvie's Love,Sylvie's Love,0,"Romance, Drama",en,English,https://www.amazon.com/dp/B08L49K11S,"When a young woman meets an aspiring saxophonist in her father’s record shop in 1950s Harlem, their love ignites a sweeping romance that transcends changing times, geography, and professional success.",8.55,114,0,2020-01-27,6.335,79,United States of America,M,1.0,Manohla Dargis,"‘Sylvie’s Love’ Review: In the Mood for Romance, Sighs and Tears",Tessa Thompson and Nnamdi Asomugha star in a swoony love story that wonderfully rethinks the classic Hollywood melodrama.,2020-12-22,2020-12-23,2020-12-22 19:18:02,article,https://www.nytimes.com/2020/12/22/movies/sylvies-love-review.html,Read the New York Times Review of Sylvie's Love,mediumThreeByTwo210,https://static01.nyt.com/images/2020/12/22/arts/22sylvie-2/22sylvie-2-mediumThreeByTwo440-v3.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
Love and Monsters,Love and Monsters,30000000,"Comedy, Action, Adventure, Fantasy",en,English,https://www.paramountmovies.com/movies/love-and-monsters,"Seven years since the Monsterpocalypse began, Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee, Joel decides to venture out to reunite with her, despite all the dangerous monsters that stand in his way.",50.453,109,1122066,2020-10-16,7.338,3598,United States of America,PG-13,0.0,Lovia Gyarkye,‘Love and Monsters’ Review: Coming-of-Age After the Apocalypse,The new sci-fi adventure from Michael Matthews lacks the self-seriousness of typical dystopian flicks but doesn’t completely lack depth.,2020-10-15,2020-10-16,2020-10-30 16:44:01,article,https://www.nytimes.com/2020/10/15/movies/love-and-monsters-review.html,Read the New York Times Review of Love and Monsters,mediumThreeByTwo210,https://static01.nyt.com/images/2020/10/15/arts/15loveandmonsters-art/15loveandmonsters-art-mediumThreeByTwo210.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
"Love, Guaranteed","Love, Guaranteed",0,"Romance, Comedy",en,English,https://www.netflix.com/title/81076898,A lawyer takes on a new client that wants to sue a dating website because it guarantees love.,13.295,91,0,2020-09-02,6.413,596,United States of America,,0.0,Natalia Winkelman,"‘Love, Guaranteed’ Review: Swiping Left on Online Dating",Rachael Leigh Cook stars in this rom-com about a lawyer and her charming new client who wants to sue a dating website for falsely promising love.,2020-09-03,2020-09-03,2020-09-03 07:06:02,article,https://www.nytimes.com/2020/09/03/movies/love-guaranteed-review-swiping-left-on-online-dating.html,"Read the New York Times Review of Love, Guaranteed",mediumThreeByTwo210,https://static01.nyt.com/images/2020/09/02/arts/love1/love1-mediumThreeByTwo440.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
The Lovebirds,The Lovebirds,0,"Comedy, Action, Romance",en,English,https://www.netflix.com/title/81248748,"A couple experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery. As their journey to clear their names takes them from one extreme – and hilarious - circumstance to the next, they must figure out how they, and their relationship, can survive the night.",9.257,87,0,2020-05-22,6.131,628,United States of America,R,0.0,A.O. Scott,‘The Lovebirds’ Review: It’s a Turkey,"In spite of the talents of Issa Rae and Kumail Nanjiani, this rom-com caper never takes flight.",2020-05-20,2020-05-22,2020-05-20 19:16:03,article,https://www.nytimes.com/2020/05/20/movies/the-lovebirds-review.html,Read the New York Times Review of The Lovebirds,mediumThreeByTwo210,https://static01.nyt.com/images/2020/05/22/arts/20LOVEBIRDS-REVIEW/merlin_172536900_a33222cf-c923-41ed-8f6a-7bdccb3ae433-mediumThreeByTwo210.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
A Secret Love,A Secret Love,0,Documentary,en,English,https://www.netflix.com/title/80209024,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",9.041,83,0,2020-04-29,7.275,109,United States of America,,0.0,Natalia Winkelman,‘A Secret Love’ Review: A Lesbian Couple’s Enduring Affection,"This tender film explores the partnership between two women who lived, in public and to kin, as dear friends for six decades.",2020-04-29,2020-04-29,2020-04-29 07:06:03,article,https://www.nytimes.com/2020/04/29/movies/a-secret-love-review.html,Read the New York Times Review of A Secret Love,mediumThreeByTwo210,https://static01.nyt.com/images/2020/04/27/arts/secret01/secret01-mediumThreeByTwo210.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
Ordinary Love,Ordinary Love,0,"Drama, Romance",en,English,https://bleeckerstreetmedia.com/ordinary-love-film,An extraordinary look at the lives of a middle-aged couple in the midst of the wife's breast cancer diagnosis.,10.285,92,0,2019-12-06,6.784,116,"Ireland, United Kingdom",R,0.0,A.O. Scott,‘Ordinary Love’ Review: In Sickness and in Health,Lesley Manville and Liam Neeson play a married couple facing a cancer diagnosis.,2020-02-12,2020-02-14,2020-03-12 16:44:01,article,https://www.nytimes.com/2020/02/12/movies/ordinary-love-review.html,Read the New York Times Review of Ordinary Love,mediumThreeByTwo210,https://static01.nyt.com/images/2020/02/12/arts/12ordinarylove1/12ordinarylove1-mediumThreeByTwo210.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You,0,"Romance, Comedy",en,English,https://www.netflix.com/title/81030842,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,29.605,102,0,2020-02-12,6.874,2391,United States of America,,0.0,Amy Nicholson,"‘To All the Boys: P.S. I Still Love You’ Review: Bliss, for Now",The second installment in Netflix’s ’80s-style teen romance trilogy asks the question John Hughes left unanswered.,2020-02-11,2020-02-12,2020-02-11 18:38:02,article,https://www.nytimes.com/2020/02/11/movies/to-all-the-boys-ps-i-still-love-you-review.html,Read the New York Times Review of To All the Boys: P.S. I Still Love You,mediumThreeByTwo210,https://static01.nyt.com/images/2020/02/10/arts/toall1/toall1-mediumThreeByTwo210.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
The Woman Who Loves Giraffes,The Woman Who Loves Giraffes,0,Documentary,en,,,"Dr. Anne Innis Dagg re-traces the steps of her groundbreaking 1956 journey to South Africa to study giraffes in the wild. Now, at 85 years old, Anne sees a startling contrast between the world of giraffes she once knew and the one it has become. Weaving through the past and present, her harrowing journey gives us an intimate look into the factors that destroyed her career and the forces that brought her back.",2.707,81,0,2018-10-03,7.0,12,"Canada, South Africa, United States of America",,0.0,Jeannette Catsoulis,‘The Woman Who Loves Giraffes’ Review: Crackers for Animals,"This warm documentary uses one woman’s singular passion to fuel a tale of zoological discovery, blatant sexism and environmental alarm.",2020-01-09,2020-01-10,2020-01-31 17:44:01,article,https://www.nytimes.com/2020/01/09/movies/the-woman-who-loves-giraffes-review.html,Read the New York Times Review of The Woman Who Loves Giraffes,mediumThreeByTwo210,https://static01.nyt.com/images/2020/01/10/arts/giraffes1/giraffes1-mediumThreeByTwo210.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
"Cyrano, My Love",Edmond,0,"Comedy, History",fr,"French, Russian",http://roadsideattractions.com/filmography/cyranomylove,"Paris, France, December 1897. The young playwright Edmond Rostand feels like a failure. Inspiration has abandoned him. Married and father of two children, desperate and penniless, he persuades the great actor Constant Coquelin to perform the main role in his new play. But there is a problem: Coquelin wants to premiere it at Christmas and Edmond has not written a single word.",9.282,113,0,2018-11-10,7.543,442,"Belgium, France",R,0.0,JEANNETTE CATSOULIS,"‘Cyrano, My Love’ Review: A Nose for Romance",This superficial take on the writing and initial staging of “Cyrano de Bergerac” is a whirlwind of soapy declarations and backstage chaos.,2019-10-17,2019-10-18,2019-10-17 13:54:02,article,https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,"Read the New York Times Review of Cyrano, My Love",mediumThreeByTwo210,https://static01.nyt.com/images/2019/10/18/arts/cyranomylove1/cyranomylove1-mediumThreeByTwo210.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
First Love,First Love,0,"Romance, Drama",en,English,,"A young man’s difficult entry into adulthood, who experiences the highs and lows of his first love, while dealing with the familial fallout spurred by the financial crisis of 2008.",19.257,95,0,2022-06-17,5.655,103,United States of America,,1.0,GLENN KENNY,‘First Love’ Review: Eluding Assassins With the Help of a Boxer,The prolific director Takashi Miike delivers an unusually satisfying Japanese genre romp.,2019-09-26,2019-09-27,2019-10-25 16:44:02,article,https://www.nytimes.com/2019/09/26/movies/first-love-review.html,Read the New York Times Review of First Love,mediumThreeByTwo210,https://static01.nyt.com/images/2019/09/27/arts/26firstlove/26firstlove-mediumThreeByTwo210.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
The Golden Glove,Der Goldene Handschuh,0,"Drama, Thriller, Crime",de,"German, Greek, Italian",,A serial killer strikes fear in the hearts of residents of Hamburg during the early 1970s.,10.281,110,0,2019-02-21,6.963,415,"France, Germany",Not Rated,0.0,BEN KENIGSBERG,"‘The Golden Glove’ Review: Honka, Portrait of a Serial Killer","The movie, directed by Fatih Akin, ups the ante for grossness.",2019-09-26,2019-09-27,2019-10-04 16:44:01,article,https://www.nytimes.com/2019/09/26/movies/the-golden-glove-review.html,Read the New York Times Review of The Golden Glove,mediumThreeByTwo210,https://static01.nyt.com/images/2019/09/26/arts/26goldenglove/26goldenglove-mediumThreeByTwo210.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
Always in Season,Always in Season,0,Documentary,en,English,https://www.alwaysinseasonfilm.com,"When 17-year-old Lennon Lacy is found hanging from a swing set in rural North Carolina in 2014, his mother's search for justice and reconciliation begins while the trauma of more than a century of lynching African Americans bleeds into the present.",1.123,89,0,2019-01-26,6.8,4,United States of America,,0.0,BEN KENIGSBERG,‘Always in Season’ Review: Lynching Is Not Just Part of America’s Past,"Jacqueline Olive, who directed the documentary, makes a powerful case that such murders can and do happen today.",2019-09-19,2019-09-20,2019-10-04 16:44:01,article,https://www.nytimes.com/2019/09/19/movies/always-in-season-review.html,Read the New York Times Review of Always in Season,mediumThreeByTwo210,https://static01.nyt.com/images/2019/09/18/arts/00alwaysin-art/00alwaysin-art-mediumThreeByTwo210.jpg,140.0,210.0,,,,,,,,,,,,,,,,,,
